SMILES,chembl_ahr_pchembl
Brc1cc(Br)c2c(c1)Oc1cc(Br)c(Br)cc1O2,8.7
Brc1cc(Br)c2c(c1)Oc1cc(Br)cc(Br)c1O2,7.03
Brc1cc2c(cc1Br)Oc1c(Br)c(Br)cc(Br)c1O2,7.77
Brc1cc2c(cc1Br)Oc1c(cc(Br)c(Br)c1Br)O2,8.18
Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,8.82
Brc1ccc(-c2nc3c(Br)cccn3n2)cc1,6.76
Brc1ccc(-c2nc3cc(Br)ccn3n2)cc1,6.2
Brc1ccc(-c2nc3ccc(Br)cn3n2)cc1,10.52
Brc1ccc(-c2nc3cccc(Br)n3n2)cc1,6.2
Brc1ccc2c(c1)Oc1cc(Br)c(Br)cc1O2,8.93
Brc1ccc2c(c1)Oc1ccc(Br)cc1O2,7.81
Brc1ccc2c(c1)Oc1ccccc1O2,6.53
Brc1ccc2nc(-c3ccccc3Br)nn2c1,5.61
Brc1ccc2ncnc(Nc3ccc(N4CCOCC4)cc3)c2c1,5.94
Brc1cccc(-c2nc3ccc(Br)cn3n2)c1,8.02
C#CCN1C(=O)/C(=C/c2n[nH]c3ccccc23)NC1=S,7.82
C#CCn1cc(/C=N/NC(=O)c2cc3ccccc3o2)c2ccccc21,6.26
C/C(=N/Nc1ccc(F)cc1)c1ccc(Cl)s1,5.33
C/C(=N\NC(=O)c1cccnc1)c1ccc(-n2ccnc2)cc1,5.26
C=CCN1C(=O)/C(=C/c2n[nH]c3ccccc23)NC1=S,7.46
CC#CCN1C(=O)/C(=C/c2n[nH]c3ccccc23)NC1=S,6.28
CC(=O)Nc1cc(-c2ccc(Cl)cc2)n[nH]1,5.74
CC(=O)Nc1cccc(OCC(=O)Nc2ccc(F)cc2)c1,4.98
CC(=O)Nc1cccc2c1C(=O)N(c1ccc(C)cc1)C2=O,5.96
CC(=O)O/N=C1/C(=C2/C(=O)Nc3cc(Br)ccc32)Nc2ccccc21,6.8
CC(=O)O[C@@H]1Oc2c(C(C)C)cc3ccc4c(C)c(C)ccc4c3c2O[C@@H]1c1ccccc1,6.52
CC(=O)O[C@H]1Oc2c(C(C)C)cc3ccc4c(C)c(C)ccc4c3c2O[C@H]1c1ccccc1,6.6
CC(=O)Oc1ccc(C(c2ccccn2)c2c[nH]c3ccccc23)cc1,4.55
CC(=O)c1ccc(NC(=O)c2cc(Cl)nc3ccccc23)cc1,5.78
CC(=O)c1noc(C)c1C(=O)Nc1nccs1,5.19
CC(C)N1C(=O)/C(=C/c2c[nH]c3ccccc23)NC1=S,5.0
CC(C)c1c(O)cc(/C=C/c2ccccc2)cc1O,7.57
CC(C)n1cnc2c(NCCc3ccc(O)cc3)nc(-c3csc4ccccc34)nc21,6.9
CC(CO)NC(=O)c1cc(-c2ccc(Cl)cc2)nn(-c2cccc(F)c2)c1=O,7.4
CC1CCc2c1cc(C(=O)Nc1ncc(F)s1)c(=O)n2C,9.47
CCC(=O)NC(=S)Nc1ccc(NC(=O)c2ccco2)c(Cl)c1,5.35
CCC(=O)Nc1cc(OC)c(NC(=O)c2ccccc2)cc1OC,5.73
CCCC(=O)Nc1nn(C)c2nc3cc(C)ccc3cc12,6.34
CCCCCCCCCCCCCCCC(=O)N[C@@H](C(=O)NCC(=O)N[C@H](CCCCN)C(=O)N[C@H](CO)C(=O)N[C@H](CCCCN)C(=O)NCC(=O)N[C@@H](C(=O)N[C@H](C)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@H](CCC(=O)O)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](CCCCN)C(N)=O)[C@@H](C)CC)[C@H](C)CC)C(C)C(=O)O,4.0
CCCCOc1ccc(/C=C\c2cc(OC)cc(OC)c2)cc1,7.92
CCCCc1cc2c(c(NC(C)=O)n1)c(=O)oc1ccccc12,5.49
CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)n1ccnc1,6.0
CCCNc1nc(Cl)nc(Nc2ccc(Cl)cc2)n1,5.47
CCCc1nn(C)c(C(=O)Nc2cccc3ccccc23)c1Cl,5.28
CCN(/N=C/c1ccc(Cl)cc1)c1cc(=O)n(C)c(=O)[nH]1,5.95
CCN1C(=O)/C(=C/c2n[nH]c3ccccc23)NC1=S,6.66
CCN1C(=O)/C(=C\c2c[nH]c3ccccc23)NC1=S,5.75
CCOC(=O)Cc1cc(-c2ccc(O)cc2)nc2ccc3ccccc3c12,5.83
CCOC(=O)c1oc2ccccc2c1N,5.13
CCOCC(=O)Nc1cccc(-c2nc3cccnc3s2)c1C,5.37
CCOCCc1nnc(NC(=O)c2ccc(OC)c(OC)c2)s1,5.21
CCOc1ccc(-c2cc(C)n3nc(C(N)=O)cc3n2)cc1,5.58
CCOc1ccc(/C=C\c2cc(OC)cc(OC)c2)cc1,7.92
CCOc1ccc(/C=N/n2cc(-c3ccccc3)nc2S)cc1,5.32
CCOc1ccc(NC(=O)c2cc3ccccc3cc2OC)cc1,5.66
CCOc1ccccc1NC(=O)c1ccc2nccnc2c1,5.66
CCOn1c(C(O)(c2ccncc2)c2cc3ccccc3[nH]2)cc2ccccc21,5.8
CCS(=O)(=O)c1ccc2oc(-c3ccc4ccccc4c3)nc2c1,7.3
CN(C)CCCN1C(=O)c2cccc3cccc(c23)C1=O,6.09
CN(C)CCO/N=C1/C(c2c(O)[nH]c3c(Br)cccc23)=Nc2ccccc21,4.6
CN(C)CCO/N=C1/C(c2c(O)n(C)c3c(Br)cccc23)=Nc2ccccc21.Cl,4.62
CN(C)c1nc(N)nc(-c2nc3ccccc3s2)n1,6.07
CN1C(=O)/C(=C/c2c[nH]c3ccccc23)NC1=S,6.84
CN1C(=O)/C(=C/c2c[nH]c3ncncc23)NC1=S,5.56
CN1C(=O)/C(=C/c2cc3ccccc3[nH]2)NC1=S,6.21
CN1C(=O)/C(=C/c2cn(C)c3ccccc23)NC1=S,6.07
CN1C(=O)/C(=C/c2csc3ccccc23)NC1=S,5.75
CN1C(=O)/C(=C/c2n[nH]c3ccccc23)NC1=S,7.31
CN1C(=S)NC(=O)/C1=C/c1n[nH]c2ccccc12,5.6
CN1CCN(CCCNC(=O)c2cc3c(-c4ccc(Cl)cc4)nn(C)c3s2)CC1,6.32
CNC(=O)c1csc(C(=O)c2c[nH]c3ccccc23)n1,8.8
COC(=O)c1cc(C(=O)Nc2nnc(C3CC3)s2)cc([N+](=O)[O-])c1,5.52
COC(=O)c1ccccc1NC(=O)Cn1ccnc1,5.66
COCC(=O)Nc1nnc(-c2cccs2)s1,5.2
COc1cc(/C=N/NC(=O)c2cccc(NC(=O)c3ccccc3)c2)ccc1O,5.25
COc1cc(/C=N/NC(=O)c2cccnc2)cc2c1OCO2,5.21
COc1cc2c(cc1NC(=O)Nc1ccc(C)cc1)oc1ccccc12,5.83
COc1cc2ccccc2cc1C(=O)Nc1ccc(C)cc1,6.41
COc1cc2nc(-c3cccc(F)c3)cc(O)c2cc1OC,5.26
COc1ccc(-c2nc3cc(F)ccc3s2)cc1OC,7.6
COc1ccc(-c2oc3ccc(N4CCOCC4)cc3c2C#Cc2ccc(N)cc2)cc1,5.24
COc1ccc(/C=C\c2cc(Cl)cc(Cl)c2)cc1,7.92
COc1ccc(/C=C\c2cc(OC)cc(OC)c2)cc1,7.92
COc1ccc(/C=N/NC(=O)c2cccc(NC(=O)c3ccc(F)cc3)c2)c(C(=O)O)c1OC,5.26
COc1ccc(/C=N/Nc2nc3ccccc3[nH]2)cc1OC,5.46
COc1ccc(C(=O)Nc2cc(OC)c(NC(=O)c3ccco3)cc2OC)cc1,5.75
COc1ccc(C(O)(c2ccc(C(F)(F)F)cc2)c2ccccn2)cc1,4.28
