SMILES,chembl_pxr_pchembl
Br.CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21,5.2
Brc1c(NC2=NCCN2)ccc2nccnc12,4.58
C#CCn1cc(/C=N/NC(=O)COc2cccc3cccnc23)c2ccccc21,4.79
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,4.6
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21CC,5.0
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,5.62
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,5.43
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,5.11
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C/C(=N/O)CC[C@@H]4[C@H]3CC[C@@]21CC,5.4
C(=N\OCc1ccc(Oc2ccccc2)cc1)/c1c(-c2ccc3ccccc3c2)nc2occn12,5.96
C(=N\OCc1ccccc1)/c1c(-c2ccc3ccccc3c2)nc2occn12,5.14
C/C(=C\CC/C(C)=C/CC[C@]1(C)CCc2cc(O)cc(C)c2O1)CC/C=C(\C)C(=O)O,6.1850000000000005
C/C(=C\CC/C(C)=C/CC[C@]1(C)CCc2cc(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)cc(C)c2O1)CC/C=C(\C)C(=O)[O-].[Na+].[Na+],4.77
C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1ccc(F)c(C(F)(F)F)c1)C[C@H](CCC(=O)O)O2)c1c(F)cccc1Cl,5.22
C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1ccc(F)c(C3CC3)c1)C[C@H](CCC(=O)O)O2)c1c(F)cccc1Cl,5.17
C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)C[C@H](CCC(=O)O)O2)c1ccccc1C,5.3
C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1cccc(OC(F)F)c1)C[C@H](CCC(=O)O)O2)c1c(F)cccc1Cl,5.04
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,4.7
C/C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,7.109999999999999
C/C=C1\C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,8.62
