SMILES,chembl_car_pchembl
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,5.56
C(=N\OC1Cc2ccccc2C1)/c1c(-c2ccc3ccccc3c2)nc2occn12,6.01
C(=N\OCc1ccccc1)/c1c(-c2ccc3ccccc3c2)nc2occn12,6.08
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,5.92
CC(/C=C1\SC(=S)N(CC(=O)O)C1=O)=C\c1ccccc1,5.44
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,5.3
CC(=O)Nc1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,6.87
CC(=O)Nc1ccc(O)cc1,4.82
CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1,4.75
CC(=O)c1cc(Cn2cc(-c3c(-c4ccc(Cl)cc4)nc4ccccn34)nn2)ccc1Cl,9.0
CC(C)(C)OC(=O)Nc1ccc2c(c1)N(C(=O)CN1CCCCC1)c1ccccc1CC2,6.67
CC(C)(C)OC(=O)Nc1ccc2c(c1)N(C(=O)Cn1cccc1)c1ccccc1CC2,7.5
CC(C)(C)c1ccc(-c2nc3sccn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,5.62
CC(C)(C)c1ccc(-c2nc3sccn3c2CNCCc2ccc(Cl)c(Cl)c2)cc1,5.0
CC(C)(C)c1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)cc1,5.1
CC(C)Cc1ccc(C(C)C(=O)O)cc1,4.96
CC(C)OC(=O)Nc1ccc2c(c1)N(C(=O)CCN(C)C)c1ccccc1CC2,5.75
CC(C)OC(=O)Nc1ccc2c(c1)N(C(=O)CN1CCCCC1)c1ccccc1CC2,6.6
CC(C)OC(=O)Nc1ccc2c(c1)N(C(=O)COC1CC1)c1ccccc1CC2,7.09
CC(C)OC(=O)Nc1ccc2c(c1)N(C(=O)COC1CCC1)c1ccccc1CC2,7.42
CC(C)OC(=O)Nc1ccc2c(c1)N(C(=O)COC1CCCC1)c1ccccc1CC2,7.71
