SMILES,Molecule Name,pxr_pEC50,adme_log_hlm_clint,adme_log_rlm_clint,adme_log_mdr1_mdck_er,adme_log_solubility_ph68,adme_log_ppb_human_unbound,adme_log_ppb_rat_unbound
Brc1cc2c(cc1Cn1cncn1)OCCCO2,,,0.886265059,2.357932942,-0.247517736,1.536432176,,
Brc1ccc(-c2nnc(Cn3cnc4ccccc43)o2)o1,,,0.675686709,1.613704432,-0.01066854,1.797475288,,
Brc1ccc(C2(CNC(c3cccnc3)c3ncc[nH]3)CCOCC2)cc1,OADMET-0005962,4.51,,,,,,
Brc1cccc2c1CCC2NCc1noc2c1COCC2,OADMET-0004753,5.06,,,,,,
Brc1ccccc1C1CCCN1c1ncnc2[nH]ncc12,OADMET-0003142,5.66,,,,,,
Brc1cnc(N2CCCN(c3ccccc3)CC2)nc1,,,2.081606511,3.753651376,,,,
Brc1cnc2ccccc2c1,,,,,,-0.033858267,,
Brc1nnc(N2CCC(OC3CCCC3)CC2)s1,,,1.888409783,3.492200892,-0.235023682,,,
C#CC(C)(C)N,OADMET-0002047,2.01,,,,,,
C#CC(C)(C)N1CCN(S(=O)(=O)N2CC3CCC2C3)CC1,OADMET-0006044,4.93,,,,,,
C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,OADMET-0001872,3.92,,,,,,
C#CCC(Cc1ccccc1)Nc1ccc2nccnc2n1,OADMET-0004054,4.87,,,,,,
C#CCN(C)Cc1ccccc1,OADMET-0003583,2.59,,,,,,
C#CCN(C)[C@H](C)Cc1ccccc1,OADMET-0003678,2.63,,,,,,
C#CCN(Cc1ccccc1)C(=O)C(C)NC(=O)c1cccc(Cl)c1Cl,OADMET-0002823,5.39,,,,,,
C#CCN1CCC(c2nc(Cc3noc(C)n3)no2)CC1,,,0.675686709,1.10710817,-0.135635396,1.695043659,,
C#CCN1CCC[C@H]1C(=O)Nc1cnn(-c2ncccn2)c1,,,0.675686709,1.921166051,0.596580622,1.653983907,,
C#CCN1CCN(C(=O)CCS(C)(=O)=O)CC1,,,0.675686709,1.027920136,,1.867762025,,
C#CCN1CCN(Cc2nc(O)cc(C(F)(F)F)n2)CC1,,,0.675686709,1.027920136,,1.632659713,,
C#CCNC(=O)CCc1c(C)nn(C)c1C,,,0.675686709,1.027920136,0.901164925,1.784831178,,
C#CCNC(=O)CN1C(=O)c2ccccc2C1=O,,,,,,1.589837943,,
C#CCNC(=O)CN1CCCN(C(=O)c2cccc(C)n2)CC1,,,0.675686709,1.194764024,1.512232302,1.562530769,,
C#CCNC(=O)Cc1coc(-c2ccccc2)n1,,,1.430268606,2.150805545,-0.143320722,,,
C#CCNC(=O)Cc1coc2cc(OC)ccc12,,,1.188647296,2.263446689,-0.189636069,1.751587005,,
C#CCNC(=O)N(Cc1ccccc1F)C1CCOCC1,,,0.675686709,1.549799964,0.332467729,,,
C#CCNC(=O)c1cc(C(C)C)nn1CC,,,0.675686709,1.094610863,-0.067999286,1.454082271,,
C#CCNC(=O)c1ccc(OC)c(OC)c1,,,,,,1.42975228,,
C#CCNC(=O)c1ccc2c(c1)OCO2,,,1.145755624,1.536823483,-0.092231106,1.415474168,,
C#CCNS(=O)(=O)c1cccc(-c2nc(-c3ccc4[nH]ccc4c3)no2)c1,OADMET-0004128,5.13,,,,,,
C#CCOc1ccc(C(=O)NN2CCCC2=O)cc1,,,0.675686709,1.027920136,0.120182762,1.402948829,,
C#CCOc1ccc(OC)cc1C(N)=O,,,1.139942023,1.8650862,-0.144326242,,,
C#C[C@@](C)(CC)NC(=O)c1cc(F)cnc1NC1CC(F)(F)C1,,,1.842771446,2.495928511,-0.095595312,,0.671265433,0.850278553
