method,split_idx,repeat_idx,fold_idx,n_train,n_val,n_train_labeled,n_val_labeled,mae,rae,rae_lift,r2,spearman_rho,kendall_tau,baseline_train_mean
R00_pxr_only_cv,0,0,0,3311,828,3311,828,0.49261492012077296,0.5166024228228775,0.4833975771771225,0.672032264000782,0.7869475008534459,0.5869582024465153,4.355183797709715
R00_pxr_only_cv,1,0,1,3311,828,3311,828,0.4588385144927536,0.5125213397538408,0.48747866024615916,0.6751013465746862,0.7881410439626033,0.6017102703751137,4.311461357359367
R00_pxr_only_cv,2,1,0,3311,828,3311,828,0.5070632872184391,0.5658402228158391,0.4341597771841609,0.5885731196410386,0.7355902389907731,0.5464271925070496,4.306908788885533
R00_pxr_only_cv,3,1,1,3311,828,3311,828,0.49867165374396133,0.5552122027775775,0.44478779722242245,0.6143766698828377,0.7382710753143481,0.5490523502143811,4.308682740627263
R00_pxr_only_cv,4,2,0,3312,827,3312,827,0.5181419754534462,0.5687277924891415,0.4312722075108585,0.5944663429387487,0.7345062292540339,0.5439561380063723,4.323100408881904
R00_pxr_only_cv,5,2,1,3311,828,3311,828,0.5290772628019323,0.530266135714672,0.46973386428532804,0.6479662596975806,0.7791885685384954,0.5808021363119658,4.3620155705879995
R00_pxr_only_cv,6,3,0,3311,828,3311,828,0.49612808369565214,0.5465460509000961,0.4534539490999039,0.6097282820056524,0.7383229902009073,0.5469935390940514,4.325833148359066
R00_pxr_only_cv,7,3,1,3311,828,3311,828,0.49678686533816424,0.57937925334886,0.42062074665114,0.5592406456809381,0.7250890721601573,0.5385816603394795,4.298163260107782
R00_pxr_only_cv,8,4,0,3311,828,3311,828,0.48450203504452594,0.523866292389892,0.476133707610108,0.6427956057118214,0.7862516921229847,0.5933851768077758,4.3089383871942015
R00_pxr_only_cv,9,4,1,3312,827,3312,827,0.48078877859733976,0.5531676909028578,0.4468323090971422,0.6274523561546348,0.748340087255657,0.5595595762918921,4.310390565886736
