epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.5672462582588196,0.5672462582588196
0,25,0.823354959487915,,,
1,49,,0.44766226410865784,,
1,51,,,0.45083147287368774,0.45083150267601013
1,51,0.47124844789505005,,,
2,77,,,0.33749938011169434,0.33749938011169434
2,77,0.3318377435207367,,,
3,99,,0.26739245653152466,,
3,103,,,0.34541046619415283,0.34541046619415283
3,103,0.20728550851345062,,,
4,129,,,0.3750208616256714,0.3750208020210266
4,129,0.1282588392496109,,,
5,149,,0.06983506679534912,,
5,155,,,0.3475971221923828,0.3475971221923828
5,155,0.07908042520284653,,,
6,181,,,0.3424402177333832,0.3424402177333832
6,181,0.04245093837380409,,,
7,199,,0.02663111686706543,,
7,207,,,0.334097295999527,0.334097295999527
7,207,0.02513277903199196,,,
8,233,,,0.3370038866996765,0.3370038866996765
8,233,0.014573736116290092,,,
9,249,,0.017147932201623917,,
9,259,,,0.3410741686820984,0.3410741984844208
9,259,0.012994052842259407,,,
10,285,,,0.34014877676963806,0.34014880657196045
10,285,0.010093264281749725,,,
11,299,,0.008901859633624554,,
11,311,,,0.3415394127368927,0.3415394127368927
11,311,0.00850882288068533,,,
12,337,,,0.3343076705932617,0.33430764079093933
12,337,0.005701097194105387,,,
13,349,,0.0030860458500683308,,
13,363,,,0.33797982335090637,0.33797985315322876
13,363,0.0030638561584055424,,,
14,389,,,0.3343941271305084,0.3343941271305084
14,389,0.0020323204807937145,,,
15,399,,0.002414060989394784,,
15,415,,,0.3384368121623993,0.3384367823600769
15,415,0.0017973440699279308,,,
16,441,,,0.3372594714164734,0.3372594714164734
16,441,0.001398806693032384,,,
17,449,,0.0007293270900845528,,
17,467,,,0.33735737204551697,0.33735737204551697
17,467,0.0008815433830022812,,,
