method,split_idx,repeat_idx,fold_idx,n_train,n_val,n_train_labeled,n_val_labeled,mae,rae,rae_lift,r2,spearman_rho,kendall_tau,baseline_train_mean
chemeleon_mt_v1_pxr_cyp3a4_w02_e50,0,0,0,3311,828,3311,828,0.49215438550724644,0.5161194628323778,0.48388053716762225,0.6615115819002086,0.7867379340213215,0.5875900102262123,4.355183797709715
chemeleon_mt_v1_pxr_cyp3a4_w02_e50,1,0,1,3311,828,3311,828,0.4712829742512077,0.5264217665629691,0.47357823343703087,0.676238321468748,0.7743086301267625,0.5861359870802986,4.311461357359367
chemeleon_mt_v1_pxr_cyp3a4_w02_e50,2,1,0,3311,828,3311,828,0.5061278005034632,0.5647962978767118,0.4352037021232882,0.5858144859150647,0.7216453391723242,0.5368894095486576,4.306908788885533
chemeleon_mt_v1_pxr_cyp3a4_w02_e50,3,1,1,3311,828,3311,828,0.500509697826087,0.5572586485620481,0.4427413514379519,0.6150252778832875,0.7335897327499741,0.5440610981990041,4.308682740627263
chemeleon_mt_v1_pxr_cyp3a4_w02_e50,4,2,0,3312,827,3312,827,0.5256331636638453,0.5769503398523279,0.4230496601476721,0.5808618866123159,0.7342121170327256,0.543140818222006,4.323100408881904
chemeleon_mt_v1_pxr_cyp3a4_w02_e50,5,2,1,3311,828,3311,828,0.5313068530193237,0.5325007359742676,0.4674992640257324,0.6458409716191453,0.7741374717681896,0.5747303306760608,4.3620155705879995
chemeleon_mt_v1_pxr_cyp3a4_w02_e50,6,3,0,3311,828,3311,828,0.4934907246980676,0.5436406758723444,0.45635932412765556,0.6109326681769545,0.7425727962376724,0.5529556882191947,4.325833148359066
chemeleon_mt_v1_pxr_cyp3a4_w02_e50,7,3,1,3311,828,3311,828,0.49640632475845414,0.5789354466938846,0.42106455330611536,0.560236006803795,0.7196493811938396,0.5342337766227979,4.298163260107782
chemeleon_mt_v1_pxr_cyp3a4_w02_e50,8,4,0,3311,828,3311,828,0.48842244198897045,0.5281052199941011,0.4718947800058989,0.6492863195924685,0.7846965269390751,0.5911267347339053,4.3089383871942015
chemeleon_mt_v1_pxr_cyp3a4_w02_e50,9,4,1,3312,827,3312,827,0.4785216250302298,0.5505592354657339,0.44944076453426607,0.6376777422170203,0.7544116490625917,0.5644278108840061,4.310390565886736
