epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,25,,,0.647912859916687,0.6312562823295593
0,25,0.8381720185279846,,,
1,49,,0.4253796637058258,,
1,51,,,0.45713940262794495,0.442670077085495
1,51,0.4850994050502777,,,
2,77,,,0.40055692195892334,0.3868797719478607
2,77,0.338375061750412,,,
3,99,,0.12457725405693054,,
3,103,,,0.38763344287872314,0.3735237121582031
3,103,0.23814281821250916,,,
4,129,,,0.4021541476249695,0.3872174918651581
4,129,0.15332354605197906,,,
5,149,,0.08380641043186188,,
5,155,,,0.3732193410396576,0.3597942292690277
5,155,0.0981665849685669,,,
6,181,,,0.4288998246192932,0.41334012150764465
6,181,0.07691188156604767,,,
7,199,,0.05377443507313728,,
7,207,,,0.39201393723487854,0.37687408924102783
7,207,0.05273234844207764,,,
8,233,,,0.38533636927604675,0.37184005975723267
8,233,0.028820615261793137,,,
9,249,,0.0204867422580719,,
9,259,,,0.39259305596351624,0.37676170468330383
9,259,0.016454141587018967,,,
10,285,,,0.3985351622104645,0.38341519236564636
10,285,0.012956281192600727,,,
11,299,,0.01102893054485321,,
11,311,,,0.3948097229003906,0.3759061098098755
11,311,0.010148006491363049,,,
12,337,,,0.38693732023239136,0.37141311168670654
12,337,0.006402206141501665,,,
13,349,,0.003522243583574891,,
13,363,,,0.3831581175327301,0.3678240180015564
13,363,0.003924225457012653,,,
14,389,,,0.3887787461280823,0.3723613917827606
14,389,0.0026687432546168566,,,
15,399,,0.0015741221141070127,,
15,415,,,0.38649895787239075,0.36930084228515625
15,415,0.0014966069720685482,,,
