epoch,step,train_loss_epoch,train_loss_step,val/mse,val_loss
0,49,,0.5264860391616821,,
0,63,,,1.0763087272644043,0.8011263608932495
0,63,0.5780627727508545,,,
1,99,,0.422328919172287,,
1,127,,,1.1251678466796875,0.8493680357933044
1,127,0.41598212718963623,,,
2,149,,0.45450741052627563,,
2,191,,,1.358838438987732,0.9676911234855652
2,191,0.36495712399482727,,,
3,199,,0.2811398506164551,,
3,249,,0.3677467107772827,,
3,255,,,1.1809412240982056,0.8792194128036499
3,255,0.32826992869377136,,,
4,299,,0.2805439531803131,,
4,319,,,1.3352906703948975,0.9467523694038391
4,319,0.28525853157043457,,,
5,349,,0.22618086636066437,,
5,383,,,1.1541987657546997,0.8637192845344543
5,383,0.24921271204948425,,,
6,399,,0.23610323667526245,,
6,447,,,1.3558642864227295,0.9532902836799622
6,447,0.2236541211605072,,,
7,449,,0.17602957785129547,,
7,499,,0.21676328778266907,,
7,511,,,1.2669345140457153,0.9046052694320679
7,511,0.20286881923675537,,,
8,549,,0.1856551170349121,,
8,575,,,1.3722364902496338,0.9566450119018555
8,575,0.1922796666622162,,,
9,599,,0.21045318245887756,,
9,639,,,1.4471303224563599,0.9477654695510864
9,639,0.18079456686973572,,,
10,649,,0.20213568210601807,,
10,699,,0.18403474986553192,,
10,703,,,1.305087924003601,0.9268069863319397
10,703,0.1637742817401886,,,
